SOS Beacon,"Up, Down, Left, Up"
Resupply,"Down, Down, Up, Right"
Machine Gun,"Down, Left, Down, Up, Right"
Anti-Material Rifle,"Down, Left, Right, Up, Down"
Stalwart,"Down, Left, Down, Up, Up, Left"
Expendable Anti-Tank,"Down, Down, Left, Up, Right"
Recoiled Rifle,"Down, Left, Right, Right, Left"
Flamethrower,"Down, Left, Up, Down, Up"
Autocannon,"Down, Left, Down, Up, Up, Right"
Railgun,"Down, Right, Left, Down, Up, Left, Right"
Spear,"Down, Down, Up, Down, Down"
Orbital Gatling Barrage,"Right, Down, Left, Up, Up"
Orbital Airburst Strike,"Right, Right Right"
Orbital 120MM HE Barrage,"Right, Down, Left, Right, Down"
Orbital 380MM HE Barrage,"Right, Down, Up, Up, Left, Down, Down"
Orbital Walking Barrage,"Right, Right, Down, Left, Right, Down"
Orbital Lasers,"Right, Down, Up, Right, Down"
Orbital Railcannon Strike,"Right, Up, Down, Down, Right"
Eagle Strafing Run,"Up, Right, Right"
Eagle Airstrike,"Up, Right, Down, Right"
Eagle Cluster Bomb,"Up, Right, Down, Down, Right"
Eagle Napalm Airstrike,"Up, Right, Down, Up"
Jump Pack,"Down, Up, Up, Down, Up"
Eagle Smoke Strike,"Up, Right, Up, Down"
Eagle 110MM Rocket Pods,"Up, Right, Up, Left"
Eagle 500KG Bomb,"Up, Right, Down, Down, Down"
Orbital Precision Strike,"Right, Right, Up"
Orbital Gas Strike,"Right, Right, Down, Right"
Orbital EMS Strike,"Right, Right, Left, Down"
Orbital Smoke Strike,"Right, Right, Down, Up"
HMG Emplacement,"Down, Up, Left, Right, Right, Left"
Shield Generation Relay,"Down, Up, Left, Down, Right, Right"
Tesla Tower,"Down, Up, Right, Up, Left, Right"
“Guard Dog”,"Down, Up, Left, Up, Right, Down"
“Guard Dog” Rover,"Down, Up, Left, Up, Right, Right"
Anti-Personnel Minefield,"Down, Left, Up, Right"
Arc thrower,"Down, Right, Up, Left, Down"
Autocannon Sentry,"Down, Up, Right, Up, Left, Up"
Ballistic Shield Backpack,"Down, Left, Up, Up, Right"
EMS Mortar Sentry,"Down, Down, Up, Up, Left"
Gatling Sentry,"Down, Up, Right, Left"
Grenade Launcher,"Down, Left, Up, Left, Down"
Incendiary Mines,"Down, Left, Left, Down"
Laser Cannon,"Down, Left, Down, Up, Left"
Machine Gun Sentry,"Down, Up, Right, Right, Up"
Mortar Sentry,"Down, Up, Right, Right, Down"
Rocket Sentry,"Down, Up, Right, Right, Left"
Shield Generator Pack,"Down, Up, Left, Right, Left, Right"
Supply Pack,"Down, Left, Down, Up, Up, Down"
